keyword|&id|&tweet|&date|&location|&retweets|&likes
contagious|&1238135207833874440|&I got the story when I got in the car from my mother and pieced together that she prob thought I had smth contagious... also my mom was on the phone with the security who was making sure I was off of school grounds . . .|&Fri Mar 13 00:10:11 SRET 2020|&N/A|&0|&0
contagious|&1238135185335554048|&@euroman71 Absolutely! Eye contact aint contagious! I rarely ever remove my sunglasses though so ...|&Fri Mar 13 00:10:06 SRET 2020|&N/A|&0|&0
contagious|&1238135167136514048|&can’t fw bums smh pls stay away from me that sh*t contagious|&Fri Mar 13 00:10:01 SRET 2020|&N/A|&0|&0
contagious|&1238135145531613184|&Watching the television with The Puppet  , he says Corona is a "fast spreader" just say contagious 😂😂|&Fri Mar 13 00:09:56 SRET 2020|&N/A|&0|&0
contagious|&1238135143061057537|&EVERYONE IS HIGHLY SUSCEPTIBLE TO THE VIRUS. Its a highly contagious virus that MAY make others with health issues worse than you but do you really want to play around with that MAY? Wash your dam hands https://t.co/y9eLHwMcQT|&Fri Mar 13 00:09:56 SRET 2020|&N/A|&0|&0
contagious|&1238135125529026566|&Coronavirus patients may be contagious for weeks longer than first thought, study says https://t.co/1UMwol56xi|&Fri Mar 13 00:09:52 SRET 2020|&N/A|&0|&0
contagious|&1238135117060726785|&Why? Contagious cures.|&Fri Mar 13 00:09:50 SRET 2020|&N/A|&0|&0
contagious|&1238135101692747781|&@Shanley_13 @KMfromJerz Contagious for days without knowing you have it. The only way you’re allowed to get officially tested for the virus is if you’ve left the country recently or have had direct contact with someone who’s confirmed to have it|&Fri Mar 13 00:09:46 SRET 2020|&N/A|&0|&0
contagious|&1238135018771353602|&People love saying oh it’s just a flu. The virus is 40x more deadly, and 3x more contagious. We have 0 built up immunity, and 0 vaccines. I’d say that’s pretty serious. But yeah the cashier at the grocery store told me we are all going to die someday anyway so that’s comforting.|&Fri Mar 13 00:09:26 SRET 2020|&United States|&0|&0
contagious|&1238135004607188993|&@overclockthis It doesnt matter that he didnt know he had it.  This disease has already been well established to be contagious before symptoms show up.  Inhuman and rotten.

If anything good can come of this pandemic, it needs to be people learning how diseases really work and stop being *him*|&Fri Mar 13 00:09:23 SRET 2020|&N/A|&0|&0
