keyword|&id|&tweet|&date|&location|&retweets|&likes
corona|&1238106938799505408|&@rosazehen @davidlohner Hat @Der_Postillon am Start https://t.co/B12JWiTrJO|&Thu Mar 12 22:17:51 SRET 2020|&N/A|&0|&0
corona|&1238106938606575616|&@shaneharris Perhaps  it is to make possible that the stupid questions about  IF the 'corona flu' AKA coronavirus, can be stopped by building the wall at the border with Mexico.  Let's keep the image of Trump as a genius, rather than the illiterate fellow he seems to be. Continue the show.|&Thu Mar 12 22:17:51 SRET 2020|&N/A|&0|&0
corona|&1238106938296197120|&@StormIsUponUs @IBeaverdale So many "coincidences" with this "Corona-thing" Hmmmm
🧐😷🤔👉🇺🇸👈 #Winning|&Thu Mar 12 22:17:51 SRET 2020|&N/A|&0|&0
corona|&1238106937616748545|&Coronavirus: Exists.

Twitter: Let's spam all the trends with it because we are all afraid of corona infections.|&Thu Mar 12 22:17:51 SRET 2020|&N/A|&0|&0
corona|&1238106936702271488|&I’m in class and we talk about the corona virus and there’s me trying to hide the fact that I’m crying over Haseul https://t.co/hcTJCtZ1kP|&Thu Mar 12 22:17:51 SRET 2020|&N/A|&0|&0
corona|&1238106935355817984|&Ok also corona mainly targets those in their 50s and 60s... Is this karma for baby boomers|&Thu Mar 12 22:17:50 SRET 2020|&N/A|&0|&0
corona|&1238106934101839874|&High key over all this corona convo. @usgov can y’all cmon and release the vaccine or cure? Ppl have stuff to do, lives to live. 🙄|&Thu Mar 12 22:17:50 SRET 2020|&N/A|&0|&0
corona|&1238106933841866752|&Hope that's not corona|&Thu Mar 12 22:17:50 SRET 2020|&N/A|&0|&0
corona|&1238106933430804482|&@realrobinspears Ok “corona virus news and updates”|&Thu Mar 12 22:17:50 SRET 2020|&N/A|&0|&0
corona|&1238106931304124416|&@JunoxsyOo HAHAHAHAHA IM TYRONE AND FUCK THIS CORONA VIRUS SHIT|&Thu Mar 12 22:17:49 SRET 2020|&N/A|&0|&0
corona|&1238106931035656193|&The Government of India is doing a commendable job containing the #CoronavirusPandemic #CoronaOutbreak. Just take a look at the UK- 460 cases or Italy-12,462 cases ! Now IRDA has instructed insurance companies to cover Corona, Good Job GOI!|&Thu Mar 12 22:17:49 SRET 2020|&N/A|&0|&0
corona|&1238106930821976066|&when I said I wanted uni to close because of corona I didn’t actually mean it 😔😔😔😔😔😔|&Thu Mar 12 22:17:49 SRET 2020|&N/A|&0|&0
corona|&1238106929693687810|&I miss racing on the old Tacen and I can’t wait for the day after #corona 🙏 #prayfortheworld #besafe #keepcalm #staypositive @ Tacen Whitewater Course https://t.co/XzLXAViDdm|&Thu Mar 12 22:17:49 SRET 2020|&Republic of Slovenia|&0|&0
corona|&1238106929064443905|&Getting Corona doesn’t mean you have to die. 
Calm down.|&Thu Mar 12 22:17:49 SRET 2020|&N/A|&0|&0
corona|&1238106927239819265|&@real_defender @realDonaldTrump How is corona going to hurt a bot|&Thu Mar 12 22:17:49 SRET 2020|&N/A|&0|&0
corona|&1238106926443048962|&i do coke everyday nd i dont have the corona virus|&Thu Mar 12 22:17:48 SRET 2020|&N/A|&0|&0
corona|&1238106926287912960|&@Timcast Ever since moving to Florida I've worked from home and had my groceries delivered. Needless human interaction is exhausting to me. Corona-chan has changed nothing😛|&Thu Mar 12 22:17:48 SRET 2020|&N/A|&0|&0
corona|&1238106924261859328|&@sadgurlky_ ohyes po no one ain't getting coronated by corona virus po hane #nCovFree|&Thu Mar 12 22:17:48 SRET 2020|&N/A|&0|&0
corona|&1238106923196657664|&Just give corona the league ffs https://t.co/yXD1GhClyx https://t.co/GcCJ4gbPZH|&Thu Mar 12 22:17:48 SRET 2020|&N/A|&0|&0
corona|&1238106922949074944|&me, who likes not being stuck in one place: sckhool sucks but i get out the house and i wont get bored!
corona virus: :)
school: suspended
assignments: flooding in
me: pakyu|&Thu Mar 12 22:17:48 SRET 2020|&N/A|&0|&0
corona|&1238106922399739908|&The Corona Virus is scared of all the hard bastards in Norfolk https://t.co/y9mED4OOWD|&Thu Mar 12 22:17:47 SRET 2020|&N/A|&0|&0
corona|&1238106922148134912|&Corona probably won't kill everyone but if it kills Tom Hanks what's the difference|&Thu Mar 12 22:17:47 SRET 2020|&United States|&0|&0
corona|&1238106922026336257|&@JaiwalPriya You tagged in that Ringtone meme, So good initiative by GOI If that meme will spread than so many won't take it seriously!
Even if Corona is on Phase 1 in India but even Large cases happen people will still make memes out of this because of fame!|&Thu Mar 12 22:17:47 SRET 2020|&N/A|&0|&0
corona|&1238106921930043394|&If I get corona I better be quarantined with my friends|&Thu Mar 12 22:17:47 SRET 2020|&N/A|&0|&0
corona|&1238106921820999680|&Literally only 2 cases of corona in Athens but we shuttin down anyway lmFAO|&Thu Mar 12 22:17:47 SRET 2020|&N/A|&0|&0
corona|&1238106921820880896|&Every time i see someone sneeze/cough, i hear Cardi b screaming "cOrOnA ViRuS!!"|&Thu Mar 12 22:17:47 SRET 2020|&N/A|&0|&0
corona|&1238106921653149697|&Corona moving mad|&Thu Mar 12 22:17:47 SRET 2020|&N/A|&0|&0
corona|&1238106921409839104|&Dumb ass making Corona jokes and finna miss the dump truck 🤦🏽‍♂️|&Thu Mar 12 22:17:47 SRET 2020|&N/A|&0|&0
corona|&1238106921158217728|&I asked my dad to go play basketball with me and he said he's not leaving the house because of the corona virus 😒|&Thu Mar 12 22:17:47 SRET 2020|&N/A|&0|&0
corona|&1238106920973672448|&The corona virus is ruing my weekend!!!|&Thu Mar 12 22:17:47 SRET 2020|&N/A|&0|&0
corona|&1238106919937736706|&Should the UK shut schools, colleges etc. & cancel all mass gatherings?

#poll #CoronavirusPandemic #CoronaVirusUpdate #COVID19 #Covid_19 #coronavirus #Corona|&Thu Mar 12 22:17:47 SRET 2020|&N/A|&0|&0
corona|&1238106919707049986|&COMMUNISTS DECLARED THAT THEY WILL TAKE A SHOWER ONCE A WEEK BECAUSE OF CORONA. THAT'S IT 👊👏 #Covid_19|&Thu Mar 12 22:17:47 SRET 2020|&N/A|&0|&0
corona|&1238106918436196352|&@conceitedxo Tell here corona fraud of she. Pack her bag and hand her a mask|&Thu Mar 12 22:17:46 SRET 2020|&N/A|&0|&0
corona|&1238106917030907905|&so our perfomance task in one ofo our subjects is a musical,,, bitch i was excited bc im one of the main characters and i get to sing again but hey it was cancelled bc of the effin corona virus 🙃🙃🙃🙃|&Thu Mar 12 22:17:46 SRET 2020|&N/A|&0|&0
corona|&1238106916909453312|&@ykomska "Monkey uprising" was not on my list of likely Corona outcomes|&Thu Mar 12 22:17:46 SRET 2020|&N/A|&0|&0
corona|&1238106916653395969|&@primegundam Found the source, goddamnit Belgium.
https://t.co/3t22bz5hZd https://t.co/TtbSn0qwK5|&Thu Mar 12 22:17:46 SRET 2020|&N/A|&0|&0
corona|&1238106914598387712|&@SteTudor123 Oh it's gonna get so so much more ludicrous. Hell, I might even give the corona virus a shot. 😐|&Thu Mar 12 22:17:46 SRET 2020|&N/A|&0|&0
corona|&1238106914468356097|&@RaheemKassam Wow! How many times did AOC touch her face as she was rambling about the Corona Virus?|&Thu Mar 12 22:17:45 SRET 2020|&N/A|&0|&0
corona|&1238106913730105348|&Corona Virus:
Problem, Reaction, Solution. 
https://t.co/A36gZj8yjv|&Thu Mar 12 22:17:45 SRET 2020|&United Kingdom|&0|&0
corona|&1238106912681537536|&Guys should really utilize this corona time to spend quality time with their girl. The whole “imma bout to go watch the game with my homeboys” ain’t gonna cut it anymore|&Thu Mar 12 22:17:45 SRET 2020|&United States|&0|&0
corona|&1238106912606097408|&I actually kinda want to get corona. Would be kinda cool to say that I had it|&Thu Mar 12 22:17:45 SRET 2020|&N/A|&0|&0
corona|&1238106912262107138|&@OllyRhodess Probably cancelled if Leicester players are confirmed with Corona.|&Thu Mar 12 22:17:45 SRET 2020|&United Kingdom|&0|&0
corona|&1238106912211775495|&@WSBSlade Those numbers are astounding. I guess I’m just anazed at how panicked it seems we all are over Corona and not the flu deaths or past epidemics. Maybe its the era of social media. Maybe its politics. IDK. But I appreciate your fairness with this reply|&Thu Mar 12 22:17:45 SRET 2020|&N/A|&0|&0
corona|&1238106911817555968|&im not even afraid of getting the corona or the quarantine because i was 3 years alone in my room i can bear with 40 days lmao|&Thu Mar 12 22:17:45 SRET 2020|&N/A|&0|&0
corona|&1238106910781472768|&sammis more worried about wup closing than catching corona virus :ss|&Thu Mar 12 22:17:45 SRET 2020|&N/A|&0|&0
corona|&1238106910542508032|&how tf they gonna handle the hs seniors situations with all this corona virus shit|&Thu Mar 12 22:17:45 SRET 2020|&N/A|&0|&0
corona|&1238106909921730560|&The liquor store was playing if today was your last day by Nickleback as I walked past the Corona display and now I hate them even more.|&Thu Mar 12 22:17:44 SRET 2020|&N/A|&0|&0
corona|&1238106909619752961|&maybe if I drink this hand sanitizer the corona virus won’t get to me|&Thu Mar 12 22:17:44 SRET 2020|&N/A|&0|&0
corona|&1238106908902424576|&i came home from spain with a slight cough and no voice. i’m better now but my boss still won’t come anywhere near me because i’ve “got the corona” also won’t send me home because we’re short staffed. how do i win here|&Thu Mar 12 22:17:44 SRET 2020|&N/A|&0|&0
corona|&1238106908306878465|&corona virus on a whole world tour|&Thu Mar 12 22:17:44 SRET 2020|&N/A|&0|&0
corona|&1238106908147560450|&wouldn’t know. can’t fly to the beach because of corona virus https://t.co/qHLz5rMHMj|&Thu Mar 12 22:17:44 SRET 2020|&N/A|&0|&0
corona|&1238106907308691457|&Me scared of corona virus but also me going to the city and seeing a broadway show while also planning a movie night and an escape room ????|&Thu Mar 12 22:17:44 SRET 2020|&N/A|&0|&0
corona|&1238106907031683072|&When Pres. Rodrigo Duterte said "P*tangina netong Corona virus na 'to", we all felt that.|&Thu Mar 12 22:17:44 SRET 2020|&N/A|&0|&0
corona|&1238106905274392578|&news!!!!
