keyword|&id|&tweet|&date|&location|&retweets|&likes
cough|&1238192183032905728|&Trying to find supplies for work....  Don’t cough on me, don’t cough around me and don’t touch me!!!!  😂😂😂😂 https://t.co/YmPeGwpfWP|&Fri Mar 13 03:56:35 SRET 2020|&N/A|&0|&0
cough|&1238192178565746688|&PSA: If you cough or sneeze into your elbow, as current norms dictate, try not to cross your arms which puts your hands in the area where you deposit your germs.|&Fri Mar 13 03:56:34 SRET 2020|&N/A|&0|&0
cough|&1238192177546657797|&@nccouragetrades @julieertz @ChristenPress Credits for pic: *cough* me *cough*|&Fri Mar 13 03:56:34 SRET 2020|&N/A|&0|&0
cough|&1238192175315288070|&boomers: state of emergency quarantine everything😰
millennials: buy all of the toilet paper and hand sanitizer left in the universe we’re going to need it😱
my generation: lmao guys what if i ask someone with the virus to cough on me i’d probably beat it and if not lol oh well🤪|&Fri Mar 13 03:56:33 SRET 2020|&N/A|&0|&0
cough|&1238192172266074112|&@tuborgchallenge @Monkeycone Heads up - I have had a cough since Wednesday. Not as bad as it was - will see how the night progresses. #Nada|&Fri Mar 13 03:56:33 SRET 2020|&N/A|&0|&0
cough|&1238192166075318273|&Woke up with a cough and trying to do the right thing, but worried about what staying home will mean for my mental health.|&Fri Mar 13 03:56:31 SRET 2020|&N/A|&0|&0
cough|&1238192164909330436|&cool I’ve made my jokes but straight up corporations better understand that if they’re going to make their employees miss work they’re going to have cough it up to make sure that their lowest paid workers don’t die from missing work|&Fri Mar 13 03:56:31 SRET 2020|&N/A|&0|&0
cough|&1238192163021893633|&@oneLOVE172345 @XJfisher74 Hooping Cough ring a bell??|&Fri Mar 13 03:56:30 SRET 2020|&N/A|&0|&0
cough|&1238192159054061569|&@KittyTrill He is thank you. The high fever lasted 24 Hours, it's dropped. Now it's the cough and shortness of breath. Thanks for asking 😄|&Fri Mar 13 03:56:29 SRET 2020|&N/A|&0|&0
cough|&1238192151848194048|&Naw. They don’t care. You answer those calls mother fucker. Mute if you need to cough https://t.co/k1Bf3M5z83|&Fri Mar 13 03:56:28 SRET 2020|&United States|&1|&0
cough|&1238192147410673674|&COVID-19 Update from PM. Those with ‘high temp’ or ‘new continuous cough’ should stay at home for 7 days.Anyone who has come into contact with someone diagnosed with Coronavirus must stay at home & contact @stmaryswxm immediately.Pls all adhere to this advice|&Fri Mar 13 03:56:27 SRET 2020|&N/A|&0|&0
cough|&1238192144118099970|&In the midst of all of the calm people I see on my timeline I’m sending this message to my twitter friend(s):

We are all going to die

in the time God planned

but still sneeze & cough into your sleeve

And please wash your hands. 

