keyword|&id|&tweet|&date|&location|&retweets|&likes
quarantine|&1238140686848995328|&@autch14 Nah quarantine plans first|&Fri Mar 13 00:31:57 SRET 2020|&United States|&0|&0
quarantine|&1238140681970999296|&That statistic is why the government is being so strict on public gatherings, and quarantine. Shit can go south VERY fast|&Fri Mar 13 00:31:56 SRET 2020|&N/A|&0|&0
quarantine|&1238140680821772293|&Here are great tips to protect yourself and others if needed.  What does self-quarantine actually look like? #coronavirus https://t.co/8gZIH4pp67|&Fri Mar 13 00:31:56 SRET 2020|&N/A|&0|&0
quarantine|&1238140675498979330|&Honestly more afraid of dying in quarantine than dying of the coronavirus|&Fri Mar 13 00:31:55 SRET 2020|&N/A|&0|&0
quarantine|&1238140674362486786|&Okay so ima tryna get stuck with someone son during this quarantine...🤣🤣|&Fri Mar 13 00:31:54 SRET 2020|&United States|&0|&0
quarantine|&1238140672651063296|&i was supposed to go to el salvador last week or maybe before my birthday and imagine i would’ve took a plane last week i would’ve been in fucking quarantine rn and not be able to come back 😭😭. how fucking sad i still want to go tho 😔.|&Fri Mar 13 00:31:54 SRET 2020|&N/A|&0|&0
quarantine|&1238140669543104512|&@TheDailyShow Have to give the people of Italy credit for being so calm under quarantine and standing in line to buy groceries... queuing in line is not very Italian|&Fri Mar 13 00:31:53 SRET 2020|&N/A|&0|&0
quarantine|&1238140665453776897|&Do not be fearful but do not be foolish; wisdom is key!

Covid has an expiration date. Get some food and water storage in case there is a "national 2 weeks quarantine". Keyword: in case!🙄

Shalum😊|&Fri Mar 13 00:31:52 SRET 2020|&N/A|&0|&0
quarantine|&1238140664094904321|&This Coronavirus is caused by scruffy cunts who don't wash their hands and buy up all the sanitary stock. 

I say we fucking quarantine those gobshites and kill them. 

Then, we can get back to having nice things, be healthy and our events being rearranged.|&Fri Mar 13 00:31:52 SRET 2020|&N/A|&0|&0
quarantine|&1238140663922860039|&@NilesGApol Did I miss something Kemp is doing other than setting up quarantine area in a park?|&Fri Mar 13 00:31:52 SRET 2020|&N/A|&0|&0
quarantine|&1238140662480076800|&I am also concerned that I won’t have any toilet paper, tissues or paper towels when I NEED them because people are hoarding like they’ll be in quarantine or hibernation for 3 years. WHAT ARE YOU GOING TO DO WITH 100 ROLLS OF TOILET PAPER?!?! 🥴|&Fri Mar 13 00:31:52 SRET 2020|&N/A|&0|&0
quarantine|&1238140661595090945|&I just want to get a nintendo switch and quarantine w my bf|&Fri Mar 13 00:31:51 SRET 2020|&N/A|&0|&0
quarantine|&1238140660617596928|&@prisssscilllaa @brinyybaby Yea, not down for quarantine tho|&Fri Mar 13 00:31:51 SRET 2020|&N/A|&0|&0
quarantine|&1238140659275620352|&If the only sport i get to watch all weekend has a significant amount of Rory Sabbatini involvement i may quarantine myself|&Fri Mar 13 00:31:51 SRET 2020|&N/A|&0|&0
quarantine|&1238140659111993344|&@JoeCandito12 Agreed. I think once this comes to light, recommendations would change from quarantine to, if you’re high risk, stay home and avoid contact. Everyone else, live your life .|&Fri Mar 13 00:31:51 SRET 2020|&United States|&0|&0
quarantine|&1238140659070054401|&Bravo! Take notes people. THIS is how one should be spending their time in quarantine. https://t.co/jJlcCP3VAx|&Fri Mar 13 00:31:51 SRET 2020|&N/A|&0|&0
quarantine|&1238140658017357825|&@PetesWire @boston25 @MGHClayCenter Re: quarantine and social distancing regarding #Covid_19 #CoronavirusPandemic #coronavirus it will have a huge impact on small businesses. 

We s/buy gift cards for shops/restaurants to use later. It won’t improve overall revenue but will help cash flow.|&Fri Mar 13 00:31:51 SRET 2020|&N/A|&0|&0
quarantine|&1238140655895011328|&What if someone in high office has to go into quarantine. Are they incapacitated?|&Fri Mar 13 00:31:50 SRET 2020|&N/A|&0|&0
quarantine|&1238140655790145536|&Will measures to tackle #Covid_19 will be taken by @roinnslainte @SimonHarrisTD to quarantine ALL those coming back from #CheltenhamFestival2020?

It's crucial (in my mind) that these people- idiots- who went to Cheltenham are are treated properly amongst returning to Ireland 🇮🇪.|&Fri Mar 13 00:31:50 SRET 2020|&Ireland|&0|&0
quarantine|&1238140650052149249|&@Lando_2932 Can’t throw a rebellion if you’re in quarantine 🤷🏻‍♀️|&Fri Mar 13 00:31:49 SRET 2020|&N/A|&0|&0
quarantine|&1238140649586806788|&she’s gone back to Norway n is now in 14 day quarantine 🙃 https://t.co/13t67gypcs|&Fri Mar 13 00:31:49 SRET 2020|&N/A|&0|&0
quarantine|&1238140649318297602|&@alysonkshave They didnt shut restaurants or cafes either. And people here are going to pats cafe while saying “yea were on quarantine from work” 🙄😖😕|&Fri Mar 13 00:31:48 SRET 2020|&N/A|&0|&0
quarantine|&1238140647879708673|&@stollwi716 honestly though, when they emailed us saying “don’t travel because if you travel you might have to self-quarantine for 2 weeks”... https://t.co/mk6ZaLj5kK|&Fri Mar 13 00:31:48 SRET 2020|&N/A|&0|&0
quarantine|&1238140647720312833|&Pandemic Hysteria NO MORE TOILET PAPER Milk Bread MEAT!!! 
#notoiletpaper #sinPapelHigenico #tiendasvacias #supermercadosVacios #covid19 #coronavirus #lockdown #quarantine #cuarentena https://t.co/AAX4QiIJos via @YouTube|&Fri Mar 13 00:31:48 SRET 2020|&N/A|&0|&0
quarantine|&1238140644385792000|&y’all they gonna quarantine everybody that went outta the country for spring break or?|&Fri Mar 13 00:31:47 SRET 2020|&N/A|&0|&0
quarantine|&1238140642640818177|&Here's a better explanation of types of quarantine

#Covid_19
CTTO Sir Eric of Marikina https://t.co/7v7RRr56WJ|&Fri Mar 13 00:31:47 SRET 2020|&N/A|&0|&0
quarantine|&1238140641537748992|&People of italy: a week ago we did not think we would be putting the entire country into quarantine.
UK: wash your hands to happy birthday!

We're all fucking doomed.|&Fri Mar 13 00:31:47 SRET 2020|&N/A|&0|&0
quarantine|&1238140641508347904|&@Richard_Vixen WHAT IF WE KISSED 😳🙈 IN THE QUARANTINE ZONE|&Fri Mar 13 00:31:47 SRET 2020|&N/A|&0|&0
quarantine|&1238140634717880322|&@suvyboy I think we will be fine. I can see a squeeze on the hospitals slightly but In all honesty elective cases are gonna get cancelled and there will be beds available bc of that. The truly sick will be treated and the infected should quarantine.|&Fri Mar 13 00:31:45 SRET 2020|&N/A|&0|&0
quarantine|&1238140634374037507|&considering my 2 week quarantine my Grimes moment|&Fri Mar 13 00:31:45 SRET 2020|&N/A|&0|&0
quarantine|&1238140631429648386|&@_kohai We should definitely be in quarantine. There are countries who have not been effected yet are doing just that to avoid it from entering.|&Fri Mar 13 00:31:44 SRET 2020|&N/A|&0|&0
quarantine|&1238140630506889217|&@JamesFallows As of this past Tuesday, I know of someone who came back from two months in Lombardy Italy. No testing, no screening, no temperature and no recommendation for quarantine.|&Fri Mar 13 00:31:44 SRET 2020|&N/A|&0|&0
quarantine|&1238140629282172930|&The amount of locals who were just sent home from study abroad to “quarantine” who I have seen OUT AND ABOUT and definitely not in quarantine is..........troubling|&Fri Mar 13 00:31:44 SRET 2020|&N/A|&0|&0
quarantine|&1238140626664738816|&The so-called president of the United States said he's not bothered by the news. - WaPo
No self-quarantine for @realDonaldTrump & @VP.
Still downplaying.
Still shaking hands. 
Trump still plans to have rally.
Dangerously unfit!
It is time, Cabinet.
#25th https://t.co/ENwyjlNzsb|&Fri Mar 13 00:31:43 SRET 2020|&N/A|&0|&0
quarantine|&1238140621459615747|&My school is switching to remote instruction over the the next two weeks. Once fully implemented, classes will be delivered via the internet until April 20th.

Lord, let your sovereignty protect me until the day of my forced quarantine. I need to restock my Pizza Rolls...|&Fri Mar 13 00:31:42 SRET 2020|&N/A|&0|&0
quarantine|&1238140620486529029|&@DrodyBoy @KOT4Q Yup, fool is in self quarantine rn|&Fri Mar 13 00:31:42 SRET 2020|&N/A|&0|&0
quarantine|&1238140620415303681|&That's scopolamine. Quarantine is a cyclosilicate mineral exhibiting great diversity in composition with poor cleavage and conchoidal fracture that is commonly found in granitic pegmatites. https://t.co/FvDvIElPaN|&Fri Mar 13 00:31:42 SRET 2020|&N/A|&0|&0
quarantine|&1238140619421147137|&@cald_sam @esaucey2 Watch them quarantine you 😳|&Fri Mar 13 00:31:41 SRET 2020|&N/A|&0|&0
quarantine|&1238140618037170184|&A friend of mine, who works for a major University just tested for the Coronavirus and has to self  quarantine for 3 days because there is no F-ing tests available. Thank you Liar in Chief & Chief Ass Kisser Pence|&Fri Mar 13 00:31:41 SRET 2020|&N/A|&0|&0
quarantine|&1238140615180738562|&Yeah, we do know the difference bet 'lockdown' and 'community quarantine' but we do not understand the resolution the travel suspension by land, domestic air and domestic sea. Please clarify a better position behind this.|&Fri Mar 13 00:31:40 SRET 2020|&N/A|&0|&0
quarantine|&1238140614488854528|&Man, if I have to self quarantine I swear the result would just be two short films, a couple photo books, and finally editing and organizing the hundreds of thousands of photos in Lightroom into meaningful personal projects. Doesn’t sound half bad.|&Fri Mar 13 00:31:40 SRET 2020|&N/A|&0|&0
quarantine|&1238140609325674496|&COVID-19: Quebec asks anyone returning from travel to self-quarantine https://t.co/yaWpBGHRdd https://t.co/1qhRXnlvPp|&Fri Mar 13 00:31:39 SRET 2020|&N/A|&0|&0
quarantine|&1238140609107501057|&I’m going to take some time during the inevitable quarantine to read the classic books that don’t fit into my normally hectic schedule: https://t.co/yMLzB4uF8M|&Fri Mar 13 00:31:39 SRET 2020|&N/A|&0|&0
quarantine|&1238140608457236480|&Movement of goods and basic services will continue and permitted,” Santos said, adding that final guidelines on who will be allowed to enter and exit Metro Manila during the quarantine period would be announced on Friday. https://t.co/FmDCvEhbi8|&Fri Mar 13 00:31:39 SRET 2020|&N/A|&0|&0
quarantine|&1238140608016941062|&@Yung_babypeter @jessicamfox82 @MartySmithESPN Hey man, I’m just bored sitting here in quarantine tryna laugh|&Fri Mar 13 00:31:39 SRET 2020|&N/A|&0|&0
quarantine|&1238140606561558530|&Hey uhh @PatrickMahomes please self quarantine until further notice

Signed,
Kansas City Chiefs fans everywhere|&Fri Mar 13 00:31:38 SRET 2020|&N/A|&0|&0
quarantine|&1238140604917387264|&UEFA confirm Juventus' match with Lyon has also been postponed amid coronavirus crisis https://t.co/N8Z4Vvr0qE|&Fri Mar 13 00:31:38 SRET 2020|&N/A|&2|&1
quarantine|&1238140602698645504|&being a kid of divorce means that even in a global pandemic, even at age 24, you still have to worry about which parent’s house to quarantine yourself at and, therefore, which parent’s feelings to hurt|&Fri Mar 13 00:31:37 SRET 2020|&N/A|&0|&0
quarantine|&1238140599468843009|&If true, they need to self quarantine!

RE: Brazilian leader's aide, who recently met with Trump at Mar-a-Lago, has #COVID19 https://t.co/cUf4RQfWVB|&Fri Mar 13 00:31:37 SRET 2020|&N/A|&0|&0
quarantine|&1238140596927131648|&somebody pls quarantine kyle|&Fri Mar 13 00:31:36 SRET 2020|&United States|&0|&0
quarantine|&1238140591608860673|&@sfleegel @Maureen_Wenner @SenTinaSmith No but they do originate and come from somewhere.. which usaully has a higher concentration of said virus. Are you really that stupid? And if you actually paid attention any Americans coming back from Europe has a mandatory quarantine|&Fri Mar 13 00:31:35 SRET 2020|&N/A|&0|&0
quarantine|&1238140588924514306|&Mitch should self quarantine himself in a tank of great white sharks https://t.co/nQ2XTDNkLO|&Fri Mar 13 00:31:34 SRET 2020|&N/A|&0|&0
quarantine|&1238140587699773442|&@hectorology They need to shut down schools and quarantine us all now.|&Fri Mar 13 00:31:34 SRET 2020|&N/A|&0|&0
quarantine|&1238140586231771139|&now that i was exposed to the virus who wants to quarantine and chill|&Fri Mar 13 00:31:33 SRET 2020|&N/A|&0|&0
quarantine|&1238140586185588736|&@JackMitchellLNK Need to make a list of past games to watch on YouTube to get people by when we inevitably have to quarantine.|&Fri Mar 13 00:31:33 SRET 2020|&N/A|&0|&0
quarantine|&1238140585959215104|&The World Health Organisation has announced that dogs cannot contract Covid-19. Dogs previously held in quarantine can now be released. To be clear, WHO let the dogs out. #coronavirus #imitationisthebestformofflattery|&Fri Mar 13 00:31:33 SRET 2020|&N/A|&0|&0
quarantine|&1238140585778782211|&We don’t have enough testing kits let alone ventilators and quarantine facilities to contain #coronavirus we cannot and should not take chance , prevention is the only solution #كورونا #CoronaVirusUpdate #CoronavirusPandemic #Covid_19 https://t.co/XjMP4lcY3F|&Fri Mar 13 00:31:33 SRET 2020|&N/A|&0|&0
quarantine|&1238140583820046336|&@lintellect maybe “accidentally” “expose” him to the “coronavirus” so you have to “quarantine” together|&Fri Mar 13 00:31:33 SRET 2020|&N/A|&0|&0
quarantine|&1238140582280736768|&Huge day for me and my boyfriend. Decided to pull the trigger on getting a nintendo switch thanks to the fear of quarantine!!!!!|&Fri Mar 13 00:31:33 SRET 2020|&N/A|&0|&0
quarantine|&1238140581517369344|&@wtf1official If there is any quarantine for two weeks there won't be a race next week, thats for sure 🤔|&Fri Mar 13 00:31:32 SRET 2020|&N/A|&0|&0
quarantine|&1238140578719625218|&Public Health Advisor (Quarantine Program)

https://t.co/KeCh3FHaOb #qanon|&Fri Mar 13 00:31:32 SRET 2020|&N/A|&0|&0
quarantine|&1238140577629253632|&@bellevuepastor Understood, and I agree if you’re talking about hoarding months of supplies (although, some folks in Wuhan have been in quarantine since January). But I would suggest it IS looking out for others to be prepared to not have to go to the store if you’re under quarantine.|&Fri Mar 13 00:31:31 SRET 2020|&N/A|&0|&0
quarantine|&1238140576375156736|&@TheNotoriousMMA was thinking when I quarantine in my house for 2 weeks I’d stock up on some #proper12 anyway you could send me a few for the low?!?!|&Fri Mar 13 00:31:31 SRET 2020|&N/A|&0|&0
quarantine|&1238140575553064963|&Test results came back... It was positive. I do in fact have Coronavirus. Being kept in quarantine so this will be my last tweet till I’ve fully recovered. https://t.co/W2YqG952Zx|&Fri Mar 13 00:31:31 SRET 2020|&N/A|&0|&0
