keyword|&id|&tweet|&date|&location|&retweets|&likes
safe|&1238187396656742405|&@ThirdEyeBlind Stay Safe Too My Friends God Bless U Today|&Fri Mar 13 03:37:34 SRET 2020|&N/A|&0|&0
safe|&1238187394756558849|&Stay safe neighbor, love from Seattle 🇺🇸 #renewannewithane https://t.co/3n6jZl9iCD|&Fri Mar 13 03:37:33 SRET 2020|&N/A|&0|&0
safe|&1238187393754247169|&Is Safe To Travel from Asheville NC to Dallas TX ?? #askCDC|&Fri Mar 13 03:37:33 SRET 2020|&N/A|&0|&0
safe|&1238187393418747905|&let go of fear, for you are safe.

always were.

always will be.

this is what the angels shared.|&Fri Mar 13 03:37:33 SRET 2020|&N/A|&0|&0
safe|&1238187392223203328|&Friday the 13th be safe!|&Fri Mar 13 03:37:33 SRET 2020|&N/A|&0|&0
safe|&1238187392080719872|&Is it safe to splash water on my pc so it cools down?

Asking for a freind|&Fri Mar 13 03:37:33 SRET 2020|&N/A|&0|&1
safe|&1238187391363547137|&@cbado23 We are all so thankful that our Boyd Broncos are in the hands/leadership of Bado, Martin and the other amazing staff members.  Stay safe, wash your hands, don't touch your face and stay away from everyone else!!!|&Fri Mar 13 03:37:33 SRET 2020|&N/A|&0|&0
safe|&1238187391292145667|&Apparently someone tested positive for Coronavirus at Biscuitville in Burlington. Be safe out there people 🙏|&Fri Mar 13 03:37:33 SRET 2020|&N/A|&0|&0
safe|&1238187389522022400|&at least i'll be safe here https://t.co/pc5Dy7lOsk|&Fri Mar 13 03:37:32 SRET 2020|&N/A|&0|&0
safe|&1238187388859559939|&@realDonaldTrump Who’s keeping you safe?since you probably were exposed by your allies in Congress who all ran home to be quarantined!|&Fri Mar 13 03:37:32 SRET 2020|&N/A|&0|&0
safe|&1238187388020477952|&@Wilco Thank you Wilco and be safe|&Fri Mar 13 03:37:32 SRET 2020|&N/A|&0|&0
safe|&1238187387739672577|&Sad to say C2C has been postponed. Hoping you’re all staying safe and healthy out there x https://t.co/TBnIxbI6aK|&Fri Mar 13 03:37:32 SRET 2020|&N/A|&0|&0
safe|&1238187387634749447|&This is a good time to disconnect from the media and write that book, that movie, do that home improvement project. Stay safe and work on you.|&Fri Mar 13 03:37:32 SRET 2020|&N/A|&0|&0
safe|&1238187385084612608|&@brayoh63 Abstain or practise safe sex. You won't get unwanted pregnancies|&Fri Mar 13 03:37:31 SRET 2020|&N/A|&0|&0
safe|&1238187384870703109|&@9_volt_ Stay safe!|&Fri Mar 13 03:37:31 SRET 2020|&N/A|&0|&0
safe|&1238187383842983936|&@athikers_bob Be well my friend. Stay safe.|&Fri Mar 13 03:37:31 SRET 2020|&N/A|&0|&0
