keyword|&id|&tweet|&date|&location|&retweets|&likes
sickness|&1238195906404470784|&@BlazefrightYT Do you have any medicine for my sickness called. "Lazy-assitopis"?? Im half way done and my laziness strikes!! https://t.co/TlN0kfc0ce|&Fri Mar 13 04:11:23 SRET 2020|&N/A|&0|&0
sickness|&1238195820677058561|&Shit what about the corona sickness tho https://t.co/82TBAPv4KS|&Fri Mar 13 04:11:02 SRET 2020|&N/A|&0|&0
sickness|&1238195810438754304|&Would anyone be interested in helping out elderly and people with compromised immune systems get their grocery shopping done if sickness keeps getting worse.|&Fri Mar 13 04:11:00 SRET 2020|&N/A|&0|&0
sickness|&1238195727970578432|&Prayer for Today:
Lord, protect me and my family and friends from any sickness and viruses. Cover us  with your blood. You are our shield. You are greater than any disease. We cancel the work of the enemy in Your name. No illness or sickness will come on our way. Thank you|&Fri Mar 13 04:10:40 SRET 2020|&N/A|&0|&0
sickness|&1238195651185455104|&@CrackersSSB yeah hopefully it will prevent a lot of sickness|&Fri Mar 13 04:10:22 SRET 2020|&N/A|&0|&0
sickness|&1238195635112890368|&Election year sickness...……. https://t.co/b7onUJevJ3|&Fri Mar 13 04:10:18 SRET 2020|&N/A|&0|&0
sickness|&1238195633195847680|&I know that they have encouraged us to come back after spring break. But if you live or are going to somewhere that is more heavily infected like Washington, California, or New York, I would consider not coming back. It sounds selfish but please do not bring sickness back here.|&Fri Mar 13 04:10:18 SRET 2020|&N/A|&0|&0
sickness|&1238195617794592771|&Welcome to the world I always- kinda- wanted to live in. The precautions. Not the actual sickness & death. https://t.co/SbJkGGQfne|&Fri Mar 13 04:10:14 SRET 2020|&N/A|&0|&0
sickness|&1238195582730108928|&@Buneta__x it for make sense if the sickness is just for politicians|&Fri Mar 13 04:10:06 SRET 2020|&N/A|&0|&0
sickness|&1238195572919734273|&@CDCgov I have asthma, lung cancer and been through more sickness and trauma in this life than anyone I ever known or met. I am a survivor so I don't care what you have to say. I've survived Rheumatic, Hay Fever, measles, malaria and so much more. Your advice means nothing to me.|&Fri Mar 13 04:10:03 SRET 2020|&N/A|&0|&0
sickness|&1238195540149575680|&so like ... I haven't had an allergy sickness in two years but NOW I get one??? ok|&Fri Mar 13 04:09:55 SRET 2020|&N/A|&0|&0
sickness|&1238195517793931265|&@theMCwale Bringing this all home to Jax, small business owners, non-profit arts groups are going to be hit hard here. They have little to zero to fall back on when customers/audiences don't show up...fear is keeping people away now, let alone when sickness strikes.|&Fri Mar 13 04:09:50 SRET 2020|&N/A|&0|&0
sickness|&1238195468368146432|&@BernieSanders We will have loss of life and lots of sickness. Support the World and the President. Stop your fear mongering. It is not helpful to anyone.|&Fri Mar 13 04:09:38 SRET 2020|&N/A|&0|&0
sickness|&1238195456154402819|&Terrible year for sports fans on what could’ve been awesome dang it man sickness sucks|&Fri Mar 13 04:09:35 SRET 2020|&N/A|&0|&0
sickness|&1238195428786610177|&Don’t let fear consume you. If you’re conserned with flus + sickness: arm yourself with knowledge, search up natural anti-virals and immune boosting herbs/plants. Try to be happy, dance, love yourself, your neighbor, play your fav. songs & dance it out of you must. #coronavirus https://t.co/ekRWft5tkG|&Fri Mar 13 04:09:29 SRET 2020|&N/A|&0|&0
sickness|&1238195313560690691|&@Vulcans_resist @thehill VA bill, bill to treat soldiers with gulf war sickness, the wars act that was just passed and vetoed by trump... there’s 3|&Fri Mar 13 04:09:01 SRET 2020|&N/A|&0|&0
sickness|&1238195266890731520|&@psymin @BryanLunduke @kernelpanic789 Also, 'not dying' isn't the only hurdle to jump.... Consider the long lasting implications of the sickness like potential fibrosis of the lungs, and stress to heart, lungs, liver, or kidneys. Just because you might not die doesn't let you off scott free|&Fri Mar 13 04:08:50 SRET 2020|&N/A|&0|&0
sickness|&1238195233051095048|&I thought my motion sickness got better but it’s been on 100 lately|&Fri Mar 13 04:08:42 SRET 2020|&N/A|&0|&0
sickness|&1238195216793952257|&“This coronavirus has nothing on the sickness I’ve felt since you left me” https://t.co/G3uYmSXDon|&Fri Mar 13 04:08:38 SRET 2020|&N/A|&0|&0
sickness|&1238195136074563584|&Change the way you eat can benefit you in ways such as this. Don’t just start eating healthy and doing healthy precautions because it’s a sickness going around ! YALL SHOULD HAVE BEEN DOING THOSE THINGS !|&Fri Mar 13 04:08:19 SRET 2020|&N/A|&0|&0
sickness|&1238195082852995073|&@cco8226 @anthonyfurey Can we quarantine the places who voted liberal, put walls around it and let other canadians handle the #CoronaVirusCanada issue?
#TrudeauMustGo #TrudeauMustResign #TrudeauIsNotFitForOffice Liberalism is a stronger sickness than the actual virus itself. #cdnpoli #polcan|&Fri Mar 13 04:08:06 SRET 2020|&N/A|&0|&2
sickness|&1238195072673419264|&How can I pray for you? With the fears of sickness sweeping across our world, and so many having struggles, I want to pray for you. If you have a #prayer request, please comment below so that I can #pray! 🙏🏼 https://t.co/eHuwfaPGUv|&Fri Mar 13 04:08:04 SRET 2020|&N/A|&0|&0
sickness|&1238195045733302272|&@docrocktex26 @danellek @pannlewis44 @Ireland0828 @rick00979 Pence more accurate when he agreed with jr's tv rant that Dems "hope that it comes here and kills millions of people so that they could end Donald Trump's streak of winning is a new level of sickness." Not that the virus is a new level of sickness, but the D's political goals!|&Fri Mar 13 04:07:58 SRET 2020|&N/A|&0|&0
sickness|&1238195039970283520|&@BernieSanders Your ego sickness is getting worse.  The lies are coming more often.  The fact is you have not cracked 34%.  Those are loosing numbers.|&Fri Mar 13 04:07:56 SRET 2020|&N/A|&0|&0
sickness|&1238195037000916993|&The news saying they expect more cases of sickness and death 😩|&Fri Mar 13 04:07:56 SRET 2020|&N/A|&0|&0
sickness|&1238195026905178112|&@reills21 I have to agree.  Unfortunately I just read that people who feel this way are Republicans only:(   Do they really have to make even this about politics!  It is making me sick more than any sickness can!|&Fri Mar 13 04:07:53 SRET 2020|&N/A|&0|&0
sickness|&1238195024942321667|&I would be lying if I said I wasn't a little nervous about everything going on with the virus. I've always struggled with some anxiety and to be honest, most of it stems around sickness in general (which is odd… https://t.co/yZySUDnoGd|&Fri Mar 13 04:07:53 SRET 2020|&N/A|&0|&0
sickness|&1238195021242908675|&@dointhebiz1 @ProfTomkins Well
Maybe he’s reflecting on a critical shortage of ITU beds , anaesthetists , radiologists , and nurses , in a health care system where staff sickness is already very high .Not everyone treats Sturgeons every word as gospel ...|&Fri Mar 13 04:07:52 SRET 2020|&N/A|&0|&0
sickness|&1238194977789874177|&@yyCBEdu I feel very worried about the Coronavirus in the schools, not because I can get sick but because I can infect my parents who are at a higher risk of the sickness|&Fri Mar 13 04:07:41 SRET 2020|&N/A|&0|&0
sickness|&1238194954939269123|&Having colds makes my mind feel so clouded and weird idek why fucking hate it, its only with a cold, not with flu, norovirus, sickness, migraines just colds🙄🤦‍♀️|&Fri Mar 13 04:07:36 SRET 2020|&N/A|&0|&0
sickness|&1238194950564651010|&@KeeleyWainwrig1 This is the delay phase. ... he’s not delaying shit by not closing schools 💀 schools are breeding grounds for sickness if one perskn has it inevitably everyone’s going to get|&Fri Mar 13 04:07:35 SRET 2020|&N/A|&0|&0
sickness|&1238194932856258560|&I’m no longer allowed to go see my grandfather who lives in a nursing home because of the corona virus. Today is his 82nd birthday. Stop dismissing this sickness.|&Fri Mar 13 04:07:31 SRET 2020|&N/A|&0|&0
sickness|&1238194894583275523|&#DearOyinbo it is not everything you do or talk about that we will swallow and run with. Make una carry una sickness and stop mentally infecting us before the real virus can show.|&Fri Mar 13 04:07:22 SRET 2020|&Nigeria|&0|&0
sickness|&1238194886710636545|&Look, something must kill a man. Sickness hunger accident, bomb blast, war, so can we focus on making our lives better in #Nigeria?|&Fri Mar 13 04:07:20 SRET 2020|&Nigeria|&0|&0
sickness|&1238194869031432194|&@Gesithan The pmc has a sickness of the soul|&Fri Mar 13 04:07:15 SRET 2020|&N/A|&0|&2
sickness|&1238194864044617728|&@ReesMoggy @Cvukwriter @yozz666 @DHSCgovuk @CMO_England @PHE_uk @NHSEngland @CathCalderwood1 @scotgovhealth @CMOWales @PublicHealthW @healthdpt @publichealthni This is true. It is not a temporary option. However, local authorities can support schooling to take place at home for a variety of reasons including sickness, called something like EOTAS (Ed other than at school) so stay in the system and see what it can do for you.|&Fri Mar 13 04:07:14 SRET 2020|&N/A|&0|&0
sickness|&1238194849519632384|&@longstreth_face This semester feels so off, we've always dealt with sickness but to have it shut down everything? I dont think theres been a disease-crisis this large ever|&Fri Mar 13 04:07:11 SRET 2020|&N/A|&0|&1
sickness|&1238194806280650752|&@Reconci01555551 @DejenEPLF So, correlation is not causation. Just because you see democracy and wealth together doesn't mean one caused the other.

Capitalism is about capital, by definition. Its about wealth. But it also about abject poverty, and sickness, and death.|&Fri Mar 13 04:07:01 SRET 2020|&N/A|&0|&0
sickness|&1238194799989141505|&As y’all can see to fight this virus/sickness of you have to have a healthy immune system ! In which a lot of people don’t have cause of their diets & cause they don’t eat fruit, veggies etc like your suppose to|&Fri Mar 13 04:06:59 SRET 2020|&N/A|&0|&0
sickness|&1238194787905343489|&Like a sickness gone make yo water an power get cut off 🤣🤣😆😆😆 https://t.co/bYT8mhq5BW|&Fri Mar 13 04:06:56 SRET 2020|&N/A|&0|&1
sickness|&1238194726379143184|&@SaintyMartins Ehya, but you just did.
Wall gecko replier.
You just shared a really beautiful picture of me anyway.😌

You and your sickness should avoid me and anything that concerns me.
You're rude and uncultured and people like you are what is wrong with the world!
Get out!|&Fri Mar 13 04:06:41 SRET 2020|&N/A|&0|&0
sickness|&1238194646506823682|&@sam_amick @HoniAhm If a player is ruled out due to sickness... tummy ache or a virus it’s publicized.... what is this virus any different?|&Fri Mar 13 04:06:22 SRET 2020|&N/A|&0|&0
sickness|&1238194627871637505|&@OgbeniDipo No sickness 
They are all in good health 🤡|&Fri Mar 13 04:06:18 SRET 2020|&N/A|&0|&0
