keyword|&id|&tweet|&date|&location|&retweets|&likes
virus|&1238127946994311168|&Be safe everyone.because of the Corona virus💕💕🙏🏘️|&Thu Mar 12 23:41:20 SRET 2020|&N/A|&0|&0
virus|&1238127946918920193|&I'm not scared about it being the virus. I'm scared about being sick in general. I really don't have the best immune system in the winter.

If I start feeling worse, I'll go see a doctor or something. (Idk...)|&Thu Mar 12 23:41:20 SRET 2020|&N/A|&0|&0
virus|&1238127946851909632|&@moto_librarian @JenniferKoz88 @Hidan30555713 @MetroSchools no one it metro has the virus tho 😳|&Thu Mar 12 23:41:20 SRET 2020|&N/A|&0|&0
virus|&1238127946033803264|&corona virus          my tweets 
                         🤝
  funny at first but people are 
starting to get concerned now|&Thu Mar 12 23:41:20 SRET 2020|&N/A|&0|&0
virus|&1238127945819906048|&@Asher_Wolf I understand this fear. I've got serious Asthma, and possibly the early signs of COPD, due to a lifetime of smoking thanks to idiot decisions I made as a teenager (I've quit now, but theres definate permanent damage). This virus is a mortal threat to me.|&Thu Mar 12 23:41:20 SRET 2020|&N/A|&0|&0
virus|&1238127945757196289|&I hope the incident with Rudy Gobert at the very least teaches people that this virus is not to be messed with and to follow the CDC and WHO guidelines on cleanliness.|&Thu Mar 12 23:41:20 SRET 2020|&N/A|&0|&0
virus|&1238127945362923522|&@piersmorgan This is just a normal flu type virus with a different name from a different country!!|&Thu Mar 12 23:41:20 SRET 2020|&N/A|&0|&0
virus|&1238127945043996673|&@KTLAMorningNews 
Has anyone survived their infection with corona virus....people who have had it and gotten over it. We need some positive news about this|&Thu Mar 12 23:41:20 SRET 2020|&N/A|&0|&0
virus|&1238127944788303875|&@DaSchnoodle Poor pupper. You are not alone a lot of the furbabies are not getting to the park because of that dammed virus.|&Thu Mar 12 23:41:19 SRET 2020|&N/A|&0|&0
virus|&1238127944184274948|&please pray for the people who been infected by the virus
and the people in isolation because of the virus
i found this The CDC says to stay away from breathing (circulating air) in a airplane.. and stay away from large groups of people.. lets hope this virus is over soon|&Thu Mar 12 23:41:19 SRET 2020|&N/A|&0|&0
virus|&1238127944066891776|&The best leaders show sacrifice in times of crisis, not selfishness. The sacrifice you show as a leader will bring out the sacrifice in others. Unfortunately, so will the selfishness. https://t.co/oumPoifcBT via @cnieuwhof|&Thu Mar 12 23:41:19 SRET 2020|&N/A|&0|&0
virus|&1238127944041738248|&Am I the only Person who this the new virus is just one big Conspiracy?|&Thu Mar 12 23:41:19 SRET 2020|&N/A|&0|&0
virus|&1238127943978647552|&Fuck this stupid virus la knn|&Thu Mar 12 23:41:19 SRET 2020|&N/A|&0|&0
